strategy,puzzle_file,runtime,backtracks,max_depth,recursive_calls
2,puzzles\puzzle_156.cnf,1.5001192092895508,0,0,1
3,puzzles\puzzle_156.cnf,1.485189437866211,0,0,1
1,puzzles\puzzle_157.cnf,1.4540042877197266,0,0,7
2,puzzles\puzzle_157.cnf,1.515989065170288,1,0,6
3,puzzles\puzzle_157.cnf,13.121751070022583,34,0,109
1,puzzles\puzzle_158.cnf,1.5785412788391113,14,0,36
2,puzzles\puzzle_158.cnf,1.4849612712860107,0,0,6
3,puzzles\puzzle_158.cnf,5.1112401485443115,0,0,14
1,puzzles\puzzle_159.cnf,1.5325565338134766,0,0,3
2,puzzles\puzzle_159.cnf,1.4536137580871582,0,0,5
3,puzzles\puzzle_159.cnf,4.4853596687316895,0,0,36
1,puzzles\puzzle_16.cnf,1.5321462154388428,6,0,21
2,puzzles\puzzle_16.cnf,1.516533374786377,2,0,13
3,puzzles\puzzle_16.cnf,6.8939971923828125,0,0,23
1,puzzles\puzzle_160.cnf,1.4378125667572021,0,0,1
2,puzzles\puzzle_160.cnf,1.4380693435668945,0,0,1
3,puzzles\puzzle_160.cnf,1.453376054763794,0,0,1
1,puzzles\puzzle_161.cnf,1.4537415504455566,0,0,1
2,puzzles\puzzle_161.cnf,1.437995433807373,0,0,1
3,puzzles\puzzle_161.cnf,1.4856629371643066,0,0,1
1,puzzles\puzzle_162.cnf,2.26621413230896,0,0,1
2,puzzles\puzzle_162.cnf,1.5001425743103027,0,0,1
3,puzzles\puzzle_162.cnf,1.4701170921325684,0,0,1
1,puzzles\puzzle_163.cnf,1.4687893390655518,0,0,1
2,puzzles\puzzle_163.cnf,1.5323362350463867,0,0,1
3,puzzles\puzzle_163.cnf,1.4536333084106445,0,0,1
1,puzzles\puzzle_164.cnf,1.484689474105835,1,0,10
2,puzzles\puzzle_164.cnf,1.4383244514465332,0,0,2
3,puzzles\puzzle_164.cnf,4.252356767654419,0,0,9
1,puzzles\puzzle_165.cnf,1.5806946754455566,0,0,1
2,puzzles\puzzle_165.cnf,1.5160057544708252,0,0,1
3,puzzles\puzzle_165.cnf,1.4537765979766846,0,0,1
1,puzzles\puzzle_166.cnf,1.5159094333648682,2,0,13
2,puzzles\puzzle_166.cnf,1.5319828987121582,0,0,6
3,puzzles\puzzle_166.cnf,3.4545059204101562,0,0,19
1,puzzles\puzzle_167.cnf,1.6256089210510254,6,0,19
2,puzzles\puzzle_167.cnf,2.5039215087890625,6,0,19
3,puzzles\puzzle_167.cnf,4.284701347351074,0,0,16
1,puzzles\puzzle_168.cnf,1.500852108001709,0,0,2
2,puzzles\puzzle_168.cnf,1.5319888591766357,1,0,5
3,puzzles\puzzle_168.cnf,1.5940706729888916,0,0,2
1,puzzles\puzzle_169.cnf,1.5784928798675537,1,0,10
2,puzzles\puzzle_169.cnf,1.579153299331665,0,0,7
3,puzzles\puzzle_169.cnf,27.488074779510498,71,0,183
1,puzzles\puzzle_17.cnf,1.4383280277252197,0,0,1
2,puzzles\puzzle_17.cnf,1.4380862712860107,0,0,1
3,puzzles\puzzle_17.cnf,2.3293845653533936,0,0,1
1,puzzles\puzzle_170.cnf,1.548213005065918,0,0,1
2,puzzles\puzzle_170.cnf,1.5318622589111328,0,0,1
3,puzzles\puzzle_170.cnf,1.4544110298156738,0,0,1
1,puzzles\puzzle_171.cnf,1.4692964553833008,0,0,1
2,puzzles\puzzle_171.cnf,1.4378948211669922,0,0,1
3,puzzles\puzzle_171.cnf,1.4534029960632324,0,0,1
1,puzzles\puzzle_172.cnf,1.5313825607299805,3,0,13
2,puzzles\puzzle_172.cnf,1.5007727146148682,2,0,10
3,puzzles\puzzle_172.cnf,10.148123025894165,43,0,105
1,puzzles\puzzle_173.cnf,1.4693396091461182,1,0,18
2,puzzles\puzzle_173.cnf,1.5005974769592285,0,0,8
3,puzzles\puzzle_173.cnf,7.988866806030273,26,0,77
1,puzzles\puzzle_174.cnf,1.5325641632080078,0,0,1
2,puzzles\puzzle_174.cnf,1.5321414470672607,0,0,1
3,puzzles\puzzle_174.cnf,1.4860601425170898,0,0,1
1,puzzles\puzzle_175.cnf,1.5478532314300537,5,0,18
2,puzzles\puzzle_175.cnf,1.423426628112793,0,0,4
3,puzzles\puzzle_175.cnf,10.72102427482605,9,0,61
1,puzzles\puzzle_176.cnf,1.4073235988616943,2,0,7
2,puzzles\puzzle_176.cnf,1.469390630722046,5,0,15
3,puzzles\puzzle_176.cnf,1.9388787746429443,0,0,15
1,puzzles\puzzle_177.cnf,1.4851562976837158,1,0,5
2,puzzles\puzzle_177.cnf,2.456979751586914,0,0,4
3,puzzles\puzzle_177.cnf,1.7194418907165527,0,0,8
1,puzzles\puzzle_178.cnf,1.5003466606140137,0,0,4
2,puzzles\puzzle_178.cnf,1.5633447170257568,2,0,9
3,puzzles\puzzle_178.cnf,12.911489486694336,40,0,136
1,puzzles\puzzle_179.cnf,1.5794260501861572,7,0,24
2,puzzles\puzzle_179.cnf,1.4691786766052246,0,0,6
3,puzzles\puzzle_179.cnf,15.586832046508789,22,0,78
1,puzzles\puzzle_18.cnf,1.4385919570922852,0,0,1
2,puzzles\puzzle_18.cnf,1.4697813987731934,0,0,1
3,puzzles\puzzle_18.cnf,1.4692366123199463,0,0,1
1,puzzles\puzzle_180.cnf,1.4695465564727783,0,0,1
2,puzzles\puzzle_180.cnf,1.7502503395080566,0,0,1
3,puzzles\puzzle_180.cnf,2.3286736011505127,0,0,1
1,puzzles\puzzle_181.cnf,1.5016398429870605,1,0,7
